firm,year,invest,value,kstock,time
1,1935,317.600006103516,3078.5,2.79999995231628,1
1,1936,391.799987792969,4661.7001953125,52.5999984741211,2
1,1937,410.600006103516,5387.10009765625,156.899993896484,3
1,1938,257.700012207031,2792.19995117188,209.199996948242,4
1,1939,330.799987792969,4313.2001953125,203.399993896484,5
1,1940,461.200012207031,4643.89990234375,207.199996948242,6
1,1941,512,4551.2001953125,255.199996948242,7
1,1942,448,3244.10009765625,303.700012207031,8
1,1943,499.600006103516,4053.69995117188,264.100006103516,9
1,1944,547.5,4379.2998046875,201.600006103516,10
1,1945,561.200012207031,4840.89990234375,265,11
1,1946,688.099975585938,4900.89990234375,402.200012207031,12
1,1947,568.900024414062,3526.5,761.5,13
1,1948,529.200012207031,3254.69995117188,922.400024414062,14
1,1949,555.099975585938,3700.19995117188,1020.09997558594,15
1,1950,642.900024414062,3755.60009765625,1099,16
1,1951,755.900024414062,4833,1207.69995117188,17
1,1952,891.200012207031,4924.89990234375,1430.5,18
1,1953,1304.40002441406,6241.7001953125,1777.30004882812,19
1,1954,1486.69995117188,5593.60009765625,2226.30004882812,20
2,1935,209.899993896484,1362.40002441406,53.7999992370605,1
2,1936,355.299987792969,1807.09997558594,50.5,2
2,1937,469.899993896484,2676.30004882812,118.099998474121,3
2,1938,262.299987792969,1801.90002441406,260.200012207031,4
2,1939,230.399993896484,1957.30004882812,312.700012207031,5
2,1940,361.600006103516,2202.89990234375,254.199996948242,6
2,1941,472.799987792969,2380.5,261.399993896484,7
2,1942,445.600006103516,2168.60009765625,298.700012207031,8
2,1943,361.600006103516,1985.09997558594,301.799987792969,9
2,1944,288.200012207031,1813.90002441406,279.100006103516,10
2,1945,258.700012207031,1850.19995117188,213.800003051758,11
2,1946,420.299987792969,2067.69995117188,132.600006103516,12
2,1947,420.5,1796.69995117188,264.799987792969,13
2,1948,494.5,1625.80004882812,306.899993896484,14
2,1949,405.100006103516,1667,351.100006103516,15
2,1950,418.799987792969,1677.40002441406,357.799987792969,16
